Date,Interstate movers,percentage,fixed_amount,total
11/03/2023,"84,390",2.237583717,45,"3,771,479"
11/06/2023,"82,966",2.199826646,44,
11/09/2023,"80,523",2.135050997,43,
11/12/2023,"102,890",2.728107461,55,
12/03/2023,"89,117",2.362919162,47,
12/06/2023,"85,411",2.264655325,45,
12/09/2023,"76,790",2.03607126,41,
12/12/2023,"88,072",2.3352112,47,
13/03/2023,"90,488",2.399270949,48,
13/06/2023,"90,095",2.388850634,48,
13/09/2023,"78,833",2.09024099,42,
13/12/2023,"100,732",2.670888529,53,
14/03/2023,"93,301",2.473857073,49,
14/06/2023,"84,914",2.251477471,45,
14/09/2023,"71,798",1.903709394,38,
14/12/2023,"93,962",2.491383354,50,
15/03/2023,"87,212",2.312408474,46,
15/06/2023,"91,039",2.413880602,48,
15/09/2023,"78,136",2.071760177,41,
15/12/2023,"98,995",2.624832327,52,
16/03/2023,"94,653",2.509705079,50,
16/06/2023,"100,101",2.654157693,53,
16/09/2023,"79,592",2.110365721,42,
16/12/2023,"107,309",2.845276349,57,
17/03/2023,"94,035",2.493318934,50,
17/06/2023,"95,715",2.537863793,51,
17/09/2023,"85,679",2.27176129,45,
17/12/2023,"111,507",2.956585467,59,
18/03/2023,"98,235",2.604681081,52,
18/06/2023,"97,260",2.578829154,52,
18/09/2023,"87,191",2.311851663,46,
18/12/2023,"116,116",3.078792166,62,
19/03/2023,"100,363",2.661104569,53,
19/06/2023,"100,292",2.659222019,53,
19/09/2023,"86,821",2.302041189,46,
19/12/2023,"108,625",2.880169822,58,
20/03/2023,"87,772",2.327256761,47,
20/06/2023,"85,451",2.265715917,45,
20/09/2023,"76,205",2.020560104,40,
20/12/2023,"104,751",2.777451498,56,
21/03/2023,"104,142",2.761303987,55,
