Date,Interstate_movers,percentage,fixed_amount,total
11-Mar-23,"84,390",2.237583717,111.8791859,"3,771,479"
11-Jun-23,"82,966",2.199826646,109.9913323,
11-Sep-23,"80,523",2.135050997,106.7525499,
11-Dec-23,"102,890",2.728107461,136.4053731,
12-Mar-23,"89,117",2.362919162,118.1459581,
12-Jun-23,"85,411",2.264655325,113.2327663,
12-Sep-23,"76,790",2.03607126,101.803563,
12-Dec-23,"88,072",2.3352112,116.76056,
13-Mar-23,"90,488",2.399270949,119.9635475,
13-Jun-23,"90,095",2.388850634,119.4425317,
13-Sep-23,"78,833",2.09024099,104.5120495,
13-Dec-23,"100,732",2.670888529,133.5444265,
14-Mar-23,"93,301",2.473857073,123.6928537,
14-Jun-23,"84,914",2.251477471,112.5738736,
14-Sep-23,"71,798",1.903709394,95.1854697,
14-Dec-23,"93,962",2.491383354,124.5691677,
15-Mar-23,"87,212",2.312408474,115.6204237,
15-Jun-23,"91,039",2.413880602,120.6940301,
15-Sep-23,"78,136",2.071760177,103.5880089,
15-Dec-23,"98,995",2.624832327,131.2416164,
16-Mar-23,"94,653",2.509705079,125.485254,
16-Jun-23,"100,101",2.654157693,132.7078847,
16-Sep-23,"79,592",2.110365721,105.5182861,
16-Dec-23,"107,309",2.845276349,142.2638175,
17-Mar-23,"94,035",2.493318934,124.6659467,
17-Jun-23,"95,715",2.537863793,126.8931897,
17-Sep-23,"85,679",2.27176129,113.5880645,
17-Dec-23,"111,507",2.956585467,147.8292734,
18-Mar-23,"98,235",2.604681081,130.2340541,
18-Jun-23,"97,260",2.578829154,128.9414577,
18-Sep-23,"87,191",2.311851663,115.5925832,
18-Dec-23,"116,116",3.078792166,153.9396083,
19-Mar-23,"100,363",2.661104569,133.0552285,
19-Jun-23,"100,292",2.659222019,132.961101,
19-Sep-23,"86,821",2.302041189,115.1020595,
19-Dec-23,"108,625",2.880169822,144.0084911,
20-Mar-23,"87,772",2.327256761,116.3628381,
20-Jun-23,"85,451",2.265715917,113.2857959,
20-Sep-23,"76,205",2.020560104,101.0280052,
20-Dec-23,"104,751",2.777451498,138.8725749,
21-Mar-23,"104,142",2.761303987,138.0651994,
