Year,Migrantdata,Migrantdata_percent,Adjusted_data,total
1971-72,"75,672",1.19794226,23.95884519,"6,316,832"
1972-73,"56,562",0.895417196,17.90834393,
1973-74,"82,926",1.312778304,26.25556608,
1974-75,"44,675",0.707237425,14.14474851,
1975-76,"21,239",0.336228667,6.72457333,
1976-77,"57,897",0.916551208,18.33102416,
1977-78,"62,715",0.992823618,19.85647236,
1978-79,"55,137",0.87285842,17.4571684,
1979-80,"75,941",1.202200723,24.04401447,
1980-81,"119,175",1.886626081,37.73252162,
1981-82,"128,117",2.028184381,40.56368762,
1982-83,"73,295",1.160312638,23.20625275,
1983-84,"49,098",0.777256701,15.54513402,
1984-85,"73,708",1.166850725,23.3370145,
1985-86,"100,359",1.588755249,31.77510499,
1986-87,"125,730",1.990396452,39.80792904,
1987-88,"149,341",2.364175587,47.28351173,
1988-89,"157,436",2.492325267,49.84650534,
1989-90,"124,647",1.973251782,39.46503564,
1990-91,"86,432",1.368280809,27.36561618,
1991-92,"68,580",1.085670792,21.71341584,
1992-93,"30,042",0.475586497,9.51172993,
1993-94,"46,549",0.736904195,14.7380839,
1994-95,"80,125",1.268436457,25.36872914,
1995-96,"104,137",1.64856371,32.97127421,
1996-97,"87,079",1.378523285,27.5704657,
1997-98,"79,162",1.253191473,25.06382946,
1998-99,"96,483",1.527395378,30.54790756,
1999-00,"107,275",1.69824051,33.96481021,
2000-01,"135,673",2.147801303,42.95602606,
2001-02,"110,556",1.750181103,35.00362207,
2002-03,"116,498",1.844247243,36.88494486,
2003-04,"99,966",1.582533776,31.65067553,
2004-05,"123,763",1.959257425,39.1851485,
2005-06,"146,753",2.323205683,46.46411366,
2006-07,"232,796",3.685328342,73.70656684,
2007-08,"277,338",4.390460281,87.80920563,
2008-09,"299,866",4.747094746,94.94189492,
2009-10,"196,058",3.103739343,62.07478686,
2010-11,"180,372",2.855418666,57.10837331,
2011-12,"231,947",3.67188806,73.43776121,
2012-13,"230,329",3.646273955,72.9254791,
2013-14,"187,778",2.972660979,59.45321959,
2014-15,"184,033",2.913374932,58.26749864,
2015-16,"206,233",3.264816921,65.29633842,
2016-17,"263,351",4.169035998,83.38071996,
2017-18,"238,224",3.771257491,75.42514982,
2018-19,"241,338",3.820554354,76.41108708,
2019-20,"194,426",3.077903607,61.55807215,
